Date,Hour,SLE Checkpoint 1
2024-03-24,09:00:00,141
2024-03-24,10:00:00,1
2024-03-24,18:00:00,85
2024-03-24,19:00:00,146
2024-03-24,20:00:00,1
2024-03-28,09:00:00,65
2024-03-28,10:00:00,26
2024-03-28,18:00:00,91
2024-03-28,19:00:00,36
2024-03-28,20:00:00,0
2024-03-28,21:00:00,0
2024-03-31,09:00:00,41
2024-03-31,10:00:00,19
2024-03-31,18:00:00,68
2024-03-31,19:00:00,29
2024-04-04,09:00:00,76
2024-04-04,10:00:00,63
2024-04-04,18:00:00,83
2024-04-04,19:00:00,50
2024-04-07,09:00:00,66
2024-04-07,10:00:00,15
2024-04-07,18:00:00,90
2024-04-07,19:00:00,42
2024-04-11,09:00:00,100
2024-04-11,10:00:00,35
2024-04-11,18:00:00,99
2024-04-11,19:00:00,19
2024-04-14,09:00:00,43
2024-04-14,10:00:00,20
2024-04-14,18:00:00,60
2024-04-14,19:00:00,33
2024-04-18,09:00:00,102
2024-04-18,10:00:00,25
2024-04-18,18:00:00,84
2024-04-18,19:00:00,40
2024-04-21,09:00:00,68
2024-04-21,10:00:00,19
2024-04-21,18:00:00,101
2024-04-21,19:00:00,40
2024-04-25,09:00:00,111
2024-04-25,10:00:00,30
2024-04-25,18:00:00,83
2024-04-25,19:00:00,23
2024-04-28,09:00:00,58
2024-04-28,10:00:00,18
2024-04-28,18:00:00,52
2024-04-28,19:00:00,60
2024-05-02,12:00:00,94
2024-05-02,13:00:00,22
2024-05-02,18:00:00,129
2024-05-02,19:00:00,16
2024-05-03,19:00:00,34
2024-05-03,20:00:00,0
2024-05-05,12:00:00,33
2024-05-05,13:00:00,8
2024-05-05,19:00:00,21
2024-05-05,20:00:00,21
2024-05-05,21:00:00,45
2024-05-05,22:00:00,1
2024-05-06,19:00:00,15
2024-05-06,20:00:00,14
2024-05-06,21:00:00,12
2024-05-06,22:00:00,1
2024-05-09,12:00:00,82
2024-05-09,13:00:00,44
2024-05-09,18:00:00,109
2024-05-09,19:00:00,32
2024-05-10,19:00:00,42
2024-05-10,20:00:00,9
2024-05-12,12:00:00,40
2024-05-12,13:00:00,11
2024-05-12,17:00:00,27
2024-05-12,18:00:00,98
2024-05-13,19:00:00,25
2024-05-13,20:00:00,9
2024-05-16,12:00:00,87
2024-05-16,13:00:00,55
2024-05-16,18:00:00,87
2024-05-16,19:00:00,51
2024-05-17,19:00:00,31
2024-05-17,20:00:00,3
2024-05-19,12:00:00,59
2024-05-19,13:00:00,78
2024-05-19,18:00:00,112
2024-05-19,19:00:00,9
2024-05-20,19:00:00,33
2024-05-20,20:00:00,8
2024-05-23,10:00:00,58
2024-05-23,11:00:00,65
2024-05-23,18:00:00,111
2024-05-23,19:00:00,28
2024-05-24,19:00:00,77
2024-05-24,20:00:00,11
2024-05-26,15:00:00,46
2024-05-26,16:00:00,5
2024-05-26,17:00:00,33
2024-05-26,18:00:00,76
2024-05-27,19:00:00,70
2024-05-27,20:00:00,10
2024-05-30,10:00:00,62
2024-05-30,11:00:00,48
2024-05-30,18:00:00,119
2024-05-30,19:00:00,26
2024-05-31,19:00:00,19
2024-05-31,20:00:00,7
2024-06-02,15:00:00,43
2024-06-02,16:00:00,0
2024-06-02,17:00:00,53
2024-06-02,18:00:00,83
2024-06-02,19:00:00,0
2024-06-03,19:00:00,32
2024-06-03,20:00:00,8
2024-06-06,10:00:00,57
2024-06-06,11:00:00,57
2024-06-06,18:00:00,69
2024-06-06,19:00:00,37
2024-06-07,19:00:00,15
2024-06-07,20:00:00,24
2024-06-07,21:00:00,3
2024-06-09,16:00:00,58
2024-06-09,17:00:00,13
2024-06-09,18:00:00,39
2024-06-09,19:00:00,59
2024-06-10,20:00:00,33
2024-06-10,21:00:00,5
2024-06-13,10:00:00,35
2024-06-13,11:00:00,89
2024-06-13,18:00:00,108
2024-06-13,19:00:00,38
2024-06-14,19:00:00,55
2024-06-14,20:00:00,7
2024-06-16,15:00:00,96
2024-06-16,16:00:00,11
2024-06-16,17:00:00,28
2024-06-16,18:00:00,116
2024-06-17,19:00:00,88
2024-06-17,20:00:00,16
2024-06-18,14:00:00,62
2024-06-18,15:00:00,78
2024-06-20,10:00:00,106
2024-06-20,11:00:00,39
2024-06-20,18:00:00,99
2024-06-20,19:00:00,45
2024-06-21,19:00:00,65
2024-06-21,20:00:00,8
2024-06-23,17:00:00,36
2024-06-23,18:00:00,28
2024-06-23,19:00:00,125
2024-06-23,20:00:00,60
2024-06-24,19:00:00,40
2024-06-24,20:00:00,4
2024-06-25,14:00:00,60
2024-06-25,15:00:00,56
2024-06-27,10:00:00,63
2024-06-27,11:00:00,61
2024-06-27,18:00:00,102
2024-06-27,19:00:00,38
2024-06-28,19:00:00,54
2024-06-28,20:00:00,9
