Date,Hour,CDB CDB Checkpoint
2021-03-31,17:00:00,22.0
2021-04-03,16:00:00,23.0
2021-04-08,12:00:00,74.0
2021-04-08,13:00:00,1.0
2021-04-10,16:00:00,44.0
2021-04-14,16:00:00,23.0
2021-04-17,16:00:00,24.0
2021-04-17,17:00:00,25.0
2021-04-21,17:00:00,28.0
2021-04-24,16:00:00,31.0
2021-04-28,16:00:00,41.0
2021-04-28,17:00:00,10.0
2021-05-01,16:00:00,41.0
2021-05-05,17:00:00,41.0
2021-05-08,16:00:00,50.0
2021-05-12,14:00:00,22.0
2021-05-15,16:00:00,47.0
2021-05-19,16:00:00,65.0
2021-05-22,17:00:00,104.0
2021-05-26,16:00:00,34.0
2021-05-26,17:00:00,34.0
2021-05-29,16:00:00,57.0
2021-06-02,16:00:00,28.0
2021-06-05,16:00:00,34.0
2021-06-09,16:00:00,19.0
2021-06-12,16:00:00,27.0
2021-06-16,16:00:00,34.0
2021-06-19,18:00:00,42.0
2021-06-23,16:00:00,50.0
2021-06-26,16:00:00,36.0
2021-06-30,16:00:00,54.0
2021-07-03,17:00:00,44.0
2021-07-07,16:00:00,38.0
2021-07-10,16:00:00,34.0
2021-07-14,16:00:00,33.0
2021-07-17,16:00:00,23.0
2021-07-17,17:00:00,50.0
2021-07-21,16:00:00,40.0
2021-07-21,17:00:00,9.0
2021-07-24,16:00:00,50.0
2021-07-24,17:00:00,20.0
2021-07-28,17:00:00,55.0
2021-07-31,16:00:00,55.0
2021-08-04,16:00:00,65.0
2021-08-07,17:00:00,59.0
2021-08-11,16:00:00,24.0
2021-08-11,17:00:00,21.0
2021-08-14,16:00:00,17.0
2021-08-14,17:00:00,100.0
