Date,Hour,GST ASAA-GST
2021-05-23,16:00:00,9
2021-05-24,16:00:00,2
2021-05-25,16:00:00,12
2021-05-25,17:00:00,1
2021-05-26,16:00:00,13
2021-05-27,16:00:00,13
2021-05-28,16:00:00,10
2021-05-29,16:00:00,34
2021-05-30,16:00:00,56
2021-05-31,12:00:00,0
2021-06-01,16:00:00,44
2021-06-01,17:00:00,24
2021-06-03,16:00:00,56
2021-06-04,16:00:00,53
2021-06-05,16:00:00,47
2021-06-06,17:00:00,45
2021-06-07,16:00:00,21
2021-06-08,16:00:00,29
2021-06-08,17:00:00,0
2021-06-09,16:00:00,29
2021-06-09,17:00:00,2
2021-06-10,16:00:00,45
2021-06-11,16:00:00,123
2021-06-12,18:00:00,91
2021-06-13,16:00:00,58
2021-06-14,16:00:00,87
2021-06-15,16:00:00,19
2021-06-15,17:00:00,5
2021-06-16,16:00:00,29
2021-06-16,17:00:00,3
2021-06-17,16:00:00,39
2021-06-18,16:00:00,118
2021-06-19,16:00:00,107
2021-06-20,16:00:00,49
2021-06-21,16:00:00,74
2021-06-22,16:00:00,63
2021-06-22,17:00:00,2
2021-06-23,17:00:00,51
2021-06-23,18:00:00,20
2021-06-24,16:00:00,45
2021-06-25,16:00:00,124
2021-06-26,16:00:00,121
2021-06-27,16:00:00,75
2021-06-28,16:00:00,53
2021-06-29,16:00:00,39
2021-06-30,16:00:00,52
2021-06-30,17:00:00,28
2021-07-01,16:00:00,83
2021-07-02,16:00:00,97
2021-07-03,16:00:00,100
2021-07-04,16:00:00,92
2021-07-05,16:00:00,98
2021-07-06,16:00:00,62
2021-07-06,17:00:00,23
2021-07-07,16:00:00,60
2021-07-08,16:00:00,75
2021-07-09,16:00:00,89
2021-07-10,16:00:00,133
2021-07-11,16:00:00,82
2021-07-12,17:00:00,56
2021-07-13,16:00:00,80
2021-07-14,16:00:00,51
2021-07-15,16:00:00,94
2021-07-16,16:00:00,126
2021-07-17,16:00:00,121
2021-07-18,16:00:00,75
2021-07-19,16:00:00,79
2021-07-20,16:00:00,59
2021-07-21,16:00:00,48
2021-07-22,16:00:00,64
2021-07-23,16:00:00,104
2021-07-24,16:00:00,108
2021-07-25,16:00:00,51
2021-07-26,16:00:00,81
2021-07-27,16:00:00,58
2021-07-28,16:00:00,70
2021-07-29,16:00:00,38
2021-07-30,16:00:00,109
2021-07-31,16:00:00,94
2021-08-01,16:00:00,47
2021-08-02,16:00:00,67
2021-08-03,16:00:00,96
2021-08-04,16:00:00,49
2021-08-05,16:00:00,62
2021-08-06,16:00:00,137
2021-08-07,16:00:00,114
2021-08-08,16:00:00,65
2021-08-09,16:00:00,68
2021-08-10,16:00:00,54
2021-08-11,17:00:00,66
2021-08-12,17:00:00,64
2021-08-13,16:00:00,123
2021-08-14,17:00:00,115
2021-08-15,17:00:00,58
2021-08-16,16:00:00,90
2022-05-19,17:00:00,10
2022-05-20,17:00:00,26
2022-05-21,16:00:00,2
2022-05-22,17:00:00,10
2022-05-23,17:00:00,11
2022-05-24,17:00:00,13
2022-05-25,17:00:00,10
2022-05-27,17:00:00,34
2022-05-28,17:00:00,22
2022-05-29,17:00:00,39
2022-05-30,16:00:00,24
2022-05-31,17:00:00,38
2022-06-01,17:00:00,25
2022-06-02,17:00:00,26
2022-06-03,17:00:00,46
2022-06-04,17:00:00,43
2022-06-05,17:00:00,30
2022-06-06,12:00:00,0
2022-06-07,17:00:00,24
2022-06-08,17:00:00,40
2022-06-09,17:00:00,36
2022-06-10,17:00:00,87
2022-06-11,17:00:00,42
2022-06-12,17:00:00,30
2022-06-13,17:00:00,56
2022-06-14,17:00:00,45
2022-06-15,17:00:00,28
2022-06-16,17:00:00,43
2022-06-17,16:00:00,60
2022-06-17,17:00:00,62
2022-06-19,17:00:00,55
2022-06-20,17:00:00,43
2022-06-21,17:00:00,50
2022-06-22,17:00:00,60
2022-06-23,17:00:00,51
2022-06-24,17:00:00,51
2022-06-24,18:00:00,44
2022-06-25,16:00:00,41
2022-06-25,17:00:00,58
2022-06-26,17:00:00,73
2022-06-27,17:00:00,46
2022-06-28,17:00:00,52
2022-06-29,17:00:00,49
2022-07-01,16:00:00,44
2022-07-01,17:00:00,65
2022-07-03,17:00:00,58
2022-07-04,16:00:00,45
2022-07-05,17:00:00,85
2022-07-06,17:00:00,138
2022-07-07,17:00:00,102
2022-07-08,17:00:00,117
2022-07-09,17:00:00,83
2022-07-10,16:00:00,20
2022-07-10,17:00:00,61
2022-07-11,17:00:00,49
2022-07-12,17:00:00,54
2022-07-13,17:00:00,58
2022-07-14,18:00:00,52
2022-07-15,16:00:00,65
2022-07-15,17:00:00,56
2022-07-16,16:00:00,55
2022-07-16,17:00:00,37
2022-07-17,16:00:00,81
2022-07-18,17:00:00,46
2022-07-19,17:00:00,50
2022-07-20,17:00:00,61
2022-07-21,16:00:00,20
2022-07-21,17:00:00,54
2022-07-22,16:00:00,45
2022-07-22,17:00:00,63
2022-07-23,16:00:00,40
2022-07-23,17:00:00,47
2022-07-24,16:00:00,37
2022-07-24,17:00:00,35
2022-07-25,16:00:00,33
2022-07-25,17:00:00,58
2022-07-26,16:00:00,33
2022-07-26,17:00:00,58
2022-07-27,16:00:00,39
2022-07-27,17:00:00,27
2022-07-28,17:00:00,32
2022-07-29,16:00:00,48
2022-07-29,17:00:00,70
2022-07-30,16:00:00,43
2022-07-30,17:00:00,72
2022-07-31,16:00:00,65
2022-08-01,17:00:00,73
2022-08-02,17:00:00,72
2022-08-03,17:00:00,54
2022-08-04,17:00:00,46
2022-08-05,16:00:00,17
2022-08-05,17:00:00,80
2022-08-06,16:00:00,24
2022-08-06,17:00:00,70
2022-08-07,17:00:00,49
2022-08-08,17:00:00,28
2022-08-09,17:00:00,76
2022-08-10,16:00:00,63
2022-08-11,17:00:00,62
2022-08-12,16:00:00,28
2022-08-12,17:00:00,78
2022-08-13,16:00:00,42
2022-08-13,17:00:00,50
2022-08-14,16:00:00,27
2022-08-14,17:00:00,28
2022-08-15,16:00:00,45
2022-08-16,17:00:00,0
2022-08-17,16:00:00,41
2022-08-17,17:00:00,56
2022-08-18,16:00:00,37
2022-08-18,17:00:00,5
2022-08-19,16:00:00,46
2022-08-19,17:00:00,50
2022-08-20,16:00:00,43
2022-08-20,17:00:00,67
2022-08-21,17:00:00,65
2022-08-22,17:00:00,43
2022-08-23,17:00:00,60
2022-08-24,16:00:00,69
2022-08-25,16:00:00,29
2022-08-25,17:00:00,9
2022-08-26,16:00:00,47
2022-08-26,17:00:00,29
2022-08-27,16:00:00,33
2022-08-27,17:00:00,51
2022-08-28,17:00:00,56
2022-08-29,16:00:00,15
2022-08-29,17:00:00,9
2022-08-30,17:00:00,45
2022-08-31,16:00:00,76
2022-09-01,17:00:00,24
2022-09-02,16:00:00,32
