Airports.Days.Date,Hour,SEA,SEA,SEA,SEA,SEA,SEA
,,Central Checkpoint,Charlie Checkpoint,FIS Checkpoint,North Checkpoint,Offsite Checkpoint,South Checkpoint
2019-08-12,08:00:00,1193.0,1255.0,107.0,610.0,397.0,971.0
2019-08-12,09:00:00,1173.0,1139.0,239.0,732.0,427.0,1198.0
2019-08-12,10:00:00,1117.0,1202.0,237.0,702.0,532.0,1158.0
2019-08-12,11:00:00,1059.0,403.0,226.0,523.0,479.0,905.0
2019-08-12,12:00:00,1243.0,628.0,305.0,600.0,354.0,795.0
2019-08-12,13:00:00,712.0,894.0,281.0,483.0,350.0,703.0
2019-08-12,14:00:00,678.0,791.0,363.0,827.0,299.0,593.0
2019-08-12,15:00:00,980.0,770.0,290.0,658.0,228.0,789.0
2019-08-12,16:00:00,1044.0,899.0,253.0,798.0,,507.0
2019-08-12,17:00:00,826.0,797.0,129.0,657.0,,629.0
2019-08-12,18:00:00,638.0,540.0,121.0,482.0,,539.0
2019-08-12,19:00:00,538.0,466.0,,441.0,,367.0
2019-08-12,20:00:00,877.0,496.0,,370.0,,538.0
2019-08-12,21:00:00,930.0,310.0,,151.0,,366.0
2019-08-12,22:00:00,688.0,271.0,,,,291.0
2019-08-12,23:00:00,313.0,91.0,,,,62.0
2019-08-13,00:00:00,172.0,,,,,
2019-08-13,01:00:00,30.0,,,,,
2019-08-13,02:00:00,84.0,,,,,
2019-08-13,03:00:00,776.0,,,,,
2019-08-13,04:00:00,886.0,715.0,,693.0,212.0,1129.0
2019-08-13,05:00:00,1184.0,1339.0,,644.0,403.0,941.0
2019-08-13,06:00:00,1113.0,1370.0,69.0,736.0,349.0,825.0
2019-08-13,07:00:00,996.0,827.0,120.0,630.0,498.0,851.0
2019-08-13,08:00:00,1146.0,1227.0,133.0,520.0,233.0,998.0
2019-08-13,09:00:00,1062.0,1191.0,168.0,706.0,534.0,1224.0
2019-08-13,10:00:00,1238.0,620.0,248.0,699.0,330.0,1345.0
2019-08-13,11:00:00,915.0,512.0,112.0,639.0,411.0,1065.0
2019-08-13,12:00:00,1003.0,812.0,319.0,677.0,317.0,877.0
2019-08-13,13:00:00,621.0,670.0,302.0,533.0,375.0,748.0
2019-08-13,14:00:00,555.0,901.0,387.0,667.0,281.0,705.0
2019-08-13,15:00:00,691.0,988.0,211.0,895.0,294.0,817.0
2019-08-13,16:00:00,613.0,831.0,220.0,715.0,,737.0
2019-08-13,17:00:00,573.0,523.0,116.0,615.0,,592.0
2019-08-13,18:00:00,484.0,490.0,78.0,490.0,,488.0
2019-08-13,19:00:00,473.0,482.0,,508.0,,566.0
2019-08-13,20:00:00,748.0,377.0,,351.0,,298.0
2019-08-13,21:00:00,530.0,333.0,,147.0,,287.0
2019-08-13,22:00:00,553.0,242.0,,,,338.0
2019-08-13,23:00:00,630.0,97.0,,,,122.0
2019-08-14,00:00:00,171.0,,,,,
2019-08-14,01:00:00,41.0,,,,,
2019-08-14,02:00:00,73.0,,,,,
2019-08-14,03:00:00,774.0,,,,,
2019-08-14,04:00:00,858.0,694.0,,594.0,176.0,748.0
2019-08-14,05:00:00,1055.0,1292.0,,659.0,407.0,822.0
2019-08-14,06:00:00,1269.0,1094.0,83.0,563.0,513.0,964.0
2019-08-14,07:00:00,1228.0,957.0,179.0,623.0,363.0,971.0
2019-08-14,08:00:00,1248.0,1068.0,134.0,620.0,400.0,876.0
2019-08-14,09:00:00,1065.0,966.0,128.0,580.0,390.0,911.0
2019-08-14,10:00:00,1369.0,882.0,432.0,685.0,530.0,809.0
2019-08-14,11:00:00,1236.0,621.0,237.0,655.0,504.0,890.0
2019-08-14,12:00:00,1091.0,675.0,243.0,806.0,389.0,579.0
2019-08-14,13:00:00,1090.0,867.0,215.0,761.0,314.0,764.0
2019-08-14,14:00:00,763.0,985.0,251.0,628.0,287.0,771.0
2019-08-14,15:00:00,883.0,689.0,179.0,716.0,325.0,778.0
2019-08-14,16:00:00,1020.0,1354.0,203.0,737.0,,799.0
2019-08-14,17:00:00,927.0,572.0,206.0,651.0,,753.0
2019-08-14,18:00:00,518.0,619.0,80.0,546.0,,572.0
2019-08-14,19:00:00,465.0,549.0,,574.0,,503.0
2019-08-14,20:00:00,772.0,507.0,,351.0,,382.0
2019-08-14,21:00:00,655.0,316.0,,178.0,,350.0
2019-08-14,22:00:00,840.0,314.0,,,,342.0
2019-08-14,23:00:00,684.0,196.0,,,,155.0
2019-08-15,00:00:00,465.0,,,,,
2019-08-15,01:00:00,105.0,,,,,
2019-08-15,02:00:00,84.0,,,,,
2019-08-15,03:00:00,714.0,,,,,
2019-08-15,04:00:00,1098.0,676.0,,784.0,250.0,833.0
2019-08-15,05:00:00,1209.0,1118.0,,674.0,368.0,978.0
2019-08-15,06:00:00,1078.0,1628.0,73.0,822.0,511.0,896.0
2019-08-15,07:00:00,1187.0,855.0,138.0,719.0,407.0,767.0
2019-08-15,08:00:00,1255.0,1153.0,128.0,736.0,390.0,961.0
2019-08-15,09:00:00,895.0,1104.0,146.0,721.0,381.0,1011.0
2019-08-15,10:00:00,1045.0,1041.0,324.0,763.0,373.0,1055.0
2019-08-15,11:00:00,1085.0,961.0,128.0,696.0,620.0,1058.0
2019-08-15,12:00:00,1111.0,934.0,276.0,742.0,310.0,648.0
2019-08-15,13:00:00,639.0,858.0,286.0,703.0,285.0,599.0
2019-08-15,14:00:00,672.0,1072.0,258.0,625.0,365.0,766.0
2019-08-15,15:00:00,638.0,854.0,247.0,889.0,225.0,890.0
2019-08-15,16:00:00,1060.0,1623.0,153.0,900.0,,728.0
2019-08-15,17:00:00,673.0,916.0,43.0,749.0,,661.0
2019-08-15,18:00:00,530.0,842.0,80.0,536.0,,522.0
2019-08-15,19:00:00,666.0,676.0,,583.0,,587.0
2019-08-15,20:00:00,776.0,571.0,,335.0,,291.0
2019-08-15,21:00:00,555.0,498.0,,222.0,,304.0
2019-08-15,22:00:00,792.0,351.0,,,,360.0
2019-08-15,23:00:00,406.0,165.0,,,,97.0
2019-08-16,00:00:00,216.0,,,,,
2019-08-16,01:00:00,71.0,,,,,
2019-08-16,02:00:00,111.0,,,,,
2019-08-16,03:00:00,748.0,,,,,
2019-08-16,04:00:00,1107.0,895.0,,572.0,281.0,797.0
2019-08-16,05:00:00,1147.0,1176.0,,754.0,361.0,1001.0
2019-08-16,06:00:00,1248.0,1553.0,97.0,640.0,538.0,1183.0
2019-08-16,07:00:00,1293.0,1157.0,135.0,738.0,344.0,629.0
2019-08-16,08:00:00,1543.0,1177.0,166.0,640.0,497.0,1027.0
2019-08-16,09:00:00,1424.0,1233.0,108.0,776.0,404.0,1174.0
2019-08-16,10:00:00,1222.0,1041.0,251.0,695.0,542.0,1123.0
2019-08-16,11:00:00,1343.0,773.0,246.0,715.0,444.0,1135.0
2019-08-16,12:00:00,1084.0,889.0,248.0,715.0,376.0,732.0
2019-08-16,13:00:00,755.0,930.0,91.0,645.0,371.0,650.0
2019-08-16,14:00:00,712.0,1128.0,214.0,879.0,311.0,640.0
2019-08-16,15:00:00,934.0,840.0,258.0,783.0,284.0,886.0
2019-08-16,16:00:00,1020.0,1127.0,206.0,818.0,,938.0
2019-08-16,17:00:00,881.0,724.0,184.0,752.0,,738.0
2019-08-16,18:00:00,543.0,694.0,116.0,655.0,,480.0
2019-08-16,19:00:00,714.0,727.0,,535.0,,707.0
2019-08-16,20:00:00,864.0,373.0,,342.0,,409.0
2019-08-16,21:00:00,780.0,363.0,,182.0,,304.0
2019-08-16,22:00:00,803.0,344.0,,,,275.0
2019-08-16,23:00:00,480.0,177.0,,,,53.0
2019-08-17,00:00:00,395.0,,,,,
2019-08-17,01:00:00,59.0,,,,,
2019-08-17,02:00:00,76.0,,,,,
2019-08-17,03:00:00,496.0,92.0,,,,
2019-08-17,04:00:00,1006.0,645.0,,720.0,207.0,870.0
2019-08-17,05:00:00,1118.0,1238.0,,712.0,345.0,1089.0
2019-08-17,06:00:00,1147.0,1145.0,90.0,673.0,323.0,1074.0
2019-08-17,07:00:00,1151.0,794.0,138.0,773.0,386.0,1181.0
2019-08-17,08:00:00,965.0,1125.0,177.0,655.0,310.0,1156.0
2019-08-17,09:00:00,1126.0,1196.0,119.0,794.0,390.0,1160.0
2019-08-17,10:00:00,1081.0,936.0,220.0,744.0,520.0,1089.0
2019-08-17,11:00:00,1496.0,561.0,270.0,870.0,458.0,1241.0
2019-08-17,12:00:00,1129.0,540.0,211.0,642.0,317.0,754.0
2019-08-17,13:00:00,640.0,516.0,243.0,404.0,185.0,631.0
2019-08-17,14:00:00,728.0,617.0,294.0,831.0,244.0,656.0
2019-08-17,15:00:00,851.0,591.0,255.0,734.0,218.0,692.0
2019-08-17,16:00:00,907.0,713.0,165.0,758.0,,824.0
2019-08-17,17:00:00,581.0,447.0,207.0,613.0,,545.0
2019-08-17,18:00:00,429.0,357.0,62.0,694.0,,531.0
2019-08-17,19:00:00,520.0,409.0,,345.0,,323.0
2019-08-17,20:00:00,612.0,351.0,,337.0,,488.0
2019-08-17,21:00:00,528.0,214.0,,182.0,,365.0
2019-08-17,22:00:00,520.0,237.0,,,,375.0
2019-08-17,23:00:00,500.0,86.0,,,,130.0
